iteration,mean_reward,success_rate,lift_rate,min_xy_after_lift,bowl_radius_after_lift_rate,tight_radius_after_lift_rate,object_to_bowl_xy_reward,lifting_reward,lift_progress_reward
2743,91.76,0.0,0.9059,0.2292,0.0,0.0,2.2271,11.3873,3.8139
2744,88.63,0.0,0.8797,0.2281,0.0,0.0,2.1787,11.1207,3.7244
2745,88.93,0.0,0.8604,0.2315,0.0,0.0,2.083,10.663,3.5717
2746,89.85,0.0,0.8716,0.2302,0.0,0.0,2.148,11.0273,3.6925
2747,84.57,0.0,0.8674,0.232,0.0,0.0,2.0921,10.766,3.604
2748,77.81,0.0,0.822,0.2317,0.0,0.0,2.0121,10.2785,3.4426
2749,87.1,0.0,0.8932,0.2283,0.0,0.0,2.2061,11.2329,3.7624
2750,88.72,0.0,0.8601,0.2308,0.0,0.0,2.1214,10.8555,3.6358
2751,90.4,0.0,0.8848,0.2301,0.0,0.0,2.1728,11.1019,3.7163
2752,85.64,0.0,0.8826,0.2312,0.0,0.0,2.1346,10.89,3.6466
2753,88.68,0.002,0.8608,0.2323,0.002,0.002,2.0877,10.6717,3.572
2754,88.81,0.0,0.8799,0.2306,0.0,0.0,2.1729,11.1155,3.7231
2755,91.29,0.0,0.8904,0.2311,0.0,0.0,2.2031,11.255,3.7689
2756,82.23,0.0,0.8804,0.2289,0.0,0.0,2.186,11.1272,3.726
2757,87.01,0.0,0.8696,0.2291,0.0,0.0,2.1508,10.9468,3.6668
2758,87.64,0.0,0.8438,0.2277,0.0,0.0,2.0731,10.52,3.5225
2759,85.43,0.0,0.8704,0.2297,0.0,0.0,2.1697,11.0502,3.7011
2760,91.38,0.0,0.8704,0.2307,0.0,0.0,2.1592,11.0539,3.7026
2761,85.04,0.0,0.8444,0.2297,0.0,0.0,2.0916,10.6872,3.5786
2762,83.32,0.0,0.8692,0.2324,0.0,0.0,2.1429,10.9871,3.6781
2763,90.27,0.0,0.8996,0.2305,0.0,0.0,2.2094,11.2602,3.7721
2764,87.53,0.0,0.8511,0.2339,0.0,0.0,2.1131,10.842,3.6308
2765,93.26,0.0,0.9106,0.2297,0.0,0.0,2.2559,11.5281,3.8612
2766,81.36,0.0,0.8651,0.2281,0.0,0.0,2.1098,10.7219,3.5883
2767,92.23,0.0,0.8938,0.2313,0.0,0.0,2.1846,11.1924,3.7478
2768,94.24,0.0,0.9022,0.2282,0.0,0.0,2.2218,11.296,3.7837
2769,83.22,0.0,0.8787,0.2259,0.0,0.0,2.1453,10.8935,3.6461
2770,85.42,0.0,0.8596,0.2234,0.0,0.0,2.1389,10.8037,3.6173
2771,87.08,0.0,0.8362,0.2266,0.0,0.0,2.0705,10.4964,3.5155
2772,86.81,0.0025,0.8588,0.2254,0.0025,0.0025,2.135,10.8336,3.6275
2773,81.54,0.0,0.8801,0.2267,0.0,0.0,2.201,11.2035,3.7519
2774,87.81,0.0,0.8867,0.2248,0.0,0.0,2.1858,11.0208,3.6905
2775,83.18,0.0,0.8538,0.2264,0.0,0.0,2.1134,10.7448,3.599
2776,84.29,0.0,0.883,0.2241,0.0,0.0,2.208,11.2079,3.7547
2777,93.7,0.0,0.8811,0.2248,0.0,0.0,2.2104,11.1842,3.7457
2778,80.96,0.0046,0.8603,0.2258,0.0046,0.0,2.1208,10.7133,3.5884
2779,84.58,0.0,0.8409,0.2255,0.0,0.0,2.1093,10.6484,3.5662
2780,89.59,0.0,0.8728,0.2265,0.0,0.0,2.1637,10.9549,3.6684
2781,87.69,0.0,0.8887,0.2256,0.0,0.0,2.201,11.1014,3.7178
2782,81.46,0.0,0.849,0.2242,0.0,0.0,2.1158,10.6695,3.5727
2783,83.78,0.0,0.8923,0.2265,0.0,0.0,2.2445,11.3276,3.7934
2784,84.21,0.0,0.8821,0.2238,0.0,0.0,2.2169,11.146,3.7326
2785,88.21,0.0,0.8807,0.2233,0.0,0.0,2.2087,11.1204,3.7244
2786,89.06,0.0,0.8971,0.2244,0.0,0.0,2.2476,11.3421,3.7971
2787,88.86,0.0,0.8633,0.2244,0.0,0.0,2.1618,10.8902,3.6471
2788,89.19,0.0,0.8805,0.2228,0.0,0.0,2.1948,11.023,3.6903
2789,88.66,0.0,0.8799,0.2202,0.0,0.0,2.1843,10.9483,3.6662
2790,90.15,0.0,0.8732,0.219,0.0,0.0,2.215,11.1169,3.7238
2791,91.89,0.0,0.8907,0.2201,0.0,0.0,2.2408,11.2456,3.766
2792,82.18,0.0,0.8747,0.2171,0.0,0.0,2.2305,11.125,3.7259
2793,91.6,0.0,0.8466,0.2186,0.0,0.0,2.1531,10.7301,3.5938
2794,82.92,0.0,0.8547,0.2213,0.0,0.0,2.179,10.8834,3.6462
2795,93.64,0.0,0.8645,0.2204,0.0,0.0,2.194,10.9402,3.6638
2796,89.13,0.0,0.8711,0.2232,0.0,0.0,2.1985,11.0146,3.6886
2797,89.03,0.0,0.8689,0.2198,0.0,0.0,2.1779,10.8392,3.63
2798,89.24,0.0,0.9022,0.2196,0.0,0.0,2.2934,11.3791,3.8107
2799,83.66,0.0,0.8515,0.2225,0.0,0.0,2.157,10.828,3.6259
2800,87.11,0.0,0.8641,0.2186,0.0,0.0,2.2083,10.905,3.6515
2801,94.34,0.0,0.8975,0.2177,0.0,0.0,2.2811,11.2713,3.7756
2802,87.4,0.0,0.8467,0.2161,0.0,0.0,2.1563,10.7015,3.5835
2803,88.37,0.003,0.8698,0.2156,0.003,0.0,2.1962,10.8593,3.6357
2804,96.34,0.0,0.8614,0.2145,0.0,0.0,2.2298,10.9905,3.6724
2805,87.64,0.0,0.8915,0.2153,0.0,0.0,2.2862,11.3175,3.7912
2806,87.72,0.0,0.9079,0.2154,0.0,0.0,2.3125,11.4465,3.8326
